gene,cluster
ASIC3,1
ASL,4
ASNS,4
ASPH,0
ASPHD1,1
ASPHD2,3
ASPM,0
ASPRV1,3
ASPSCR1,4
ASRGL1,2
ASS1,4
ASTE1,5
ASTN2,4
ASXL3,0
ATAD1,5
ATAD2B,0
ATAD3A,4
ATF1,5
ATF2,5
ATF3,5
ATF4,0
ATF5,0
ATF7,4
ATF7IP2,5
ATG10,3
ATG101,5
ATG12,5
ATG13,4
ATG14,5
ATG16L1,5
ATG16L2,5
ATG2A,0
ATG2B,0
ATG4D,4
ATG9A,0
ATL1,1
ATL2,5
ATM,4
ATMIN,0
ATN1,0
ATOSA,3
ATOSB,1
ATOX1,4
ATP11A,0
ATP11B,0
ATP11C,0
ATP13A1,4
ATP13A2,0
ATP13A3,0
ATP1A1,0
ATP1A1-AS1,5
ATP1A3,2
ATP1B1,5
ATP1B2,0
ATP2A1,5
ATP2A1-AS1,4
ATP2A2,0
ATP2A3,0
ATP2B1,4
ATP2B4,2
ATP2C1,0
ATP5F1A,4
ATP5F1D,0
ATP5F1E,1
ATP5F1EP2,1
ATP5IF1,4
ATP5MC1,5
ATP5MC2,0
ATP5ME,5
ATP5MF,5
ATP5MG,1
ATP5MJ,5
ATP5MK,1
ATP5PD,5
ATP5PF,5
ATP6AP1,2
ATP6AP1L,4
ATP6V0A2,0
ATP6V0C,2
ATP6V0D1,5
ATP6V0E2-AS1,1
ATP6V1B1,4
ATP6V1B1-AS1,5
ATP6V1B2,5
ATP6V1C2,3
ATP6V1D,0
ATP6V1E2,0
ATP6V1F,4
ATP7A,0
ATP7B,0
ATP8A1,4
ATP8B1,4
ATP8B1-AS1,4
ATP8B2,0
ATP9A,2
ATPAF1,0
ATPAF2,0
ATPSCKMT,5
ATRIP,5
ATRN,2
ATRNL1,1
ATRX,4
ATXN1,1
ATXN1-AS1,0
ATXN1L,5
ATXN2,5
ATXN3,4
ATXN7,5
ATXN7L1,5
ATXN7L2,5
AUNIP,5
AURKAIP1,2
AURKAP1,1
AURKB,5
AUTS2,5
AVPI1,5
AXIN1,0
AXIN2,1
AZI2,5
AZIN2,2
B2M,4
B3GALT1,4
B3GALT6,5
B3GALT9,1
B3GAT3,5
B3GNT2,5
B3GNT4,4
B3GNT5,5
B3GNT9,4
B4GALNT1,3
B4GALNT3,4
B4GALNT4,0
B4GALT4,5
B4GALT6,2
B4GALT7,4
B4GAT1,1
B9D1,5
B9D2,5
BABAM1,2
BACE2,0
BACH1,5
BAD,0
BAG1,0
BAG2,5
BAG5,5
BAHCC1,0
BAHD1,0
BAIAP2,4
BAIAP2L1,0
BAIAP2L2,3
BAIAP3,4
BAK1,4
BAMBI,5
BANF1,5
BANP,4
BAP1,0
BARD1,5
BARHL2,4
BARX1,2
BASP1,0
BATF3,2
BAX,5
BAZ1B,0
BAZ2A,0
BAZ2B,4
BBC3,1
BBIP1,4
BBLN,1
BBOX1-AS1,4
BBS1,0
BBS10,3
BBS12,5
BBS5,5
BBS9,4
BBX,4
BCAM,2
BCAP31,4
BCAR1,0
BCAR3,1
BCAS2,5
BCAS3,0
BCAS4,1
BCAT1,0
BCCIP,0
BCDIN3D,5
BCDIN3D-AS1,1
BCHE,1
BCKDHB,4
BCKDK,0
BCL10,5
BCL11A,3
BCL11B,1
BCL2L11,5
BCL2L12,5
BCL2L13,0
BCL2L2,4
BCL3,3
BCL6,1
BCL6B,5
BCL7A,0
BCL7C,4
BCL9,4
BCL9L,4
BCLAF3,1
BCOR,4
BCORL1,0
BCR,0
BCRP2,4
BCYRN1,5
BDH2,5
BECN1,0
BEND3,5
BEND3P3,3
BEND4,0
BEND5,5
BEND6,1
BET1,3
BET1L,3
BEX1,0
BEX2,2
BEX4,5
BEX5,3
BFSP1,1
BHLHE40,0
BHLHE41,3
BICC1,4
BICDL1,4
BICDL2,5
BICRA,1
BICRAL,5
BID,2
BIN1,0
BIN3,0
BIRC2,4
BIRC6,0
BIVM,4
BLOC1S1,2
BLOC1S2,5
BLOC1S3,4
BLOC1S4,5
BLTP1,4
BLTP2,0
BLTP3A,0
BLTP3B,4
BLVRA,5
BLVRB,5
BLZF1,4
BMAL1,1
BMF,3
BMI1,4
BMP1,4
BMP2,1
BMP2K,1
BMP4,4
BMP6,2
BMP7,4
BMP8A,1
BMP8B,0
BMPER,4
BMPR1B,1
BMPR2,0
BMS1P1,3
BMS1P2,3
BMS1P20,5
BMS1P4,3
BNC1,5
BNC2,4
BNIP1,5
BNIP2,5
BNIP3,0
BNIPL,3
BOD1,5
BOD1L1,0
BOK,4
BOLA1,5
BOLA2,0
BOLA3,1
BOLA3-DT,3
BOP1,0
BORA,5
BORCS5,5
BORCS6,4
BORCS7,5
BORCS8,2
BPGM,5
BPNT1,0
BPTF,0
BRAF,4
BRAP,5
BRAT1,0
BRD1,4
BRD2,4
BRD3,0
BRD8,5
BRD9,4
BRF1,0
BRF2,5
BRI3,4
BRI3BP,2
BRICD5,4
BRINP3-DT,4
BRIP1,4
BRIX1,5
BRME1,1
BRMS1L,5
BRPF1,5
BRPF3,4
BRSK1,5
BRWD1,5
BRWD3,4
