"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1QTNF3",11.900204946879,-0.376842074963416,0.934407679456108,1.40187695419218,0.843868727176262,NA
"TTC23L",10.7593070371309,0.0250482517816443,0.841096476839485,1.06229699375419,0.900207135559223,NA
"SPEF2",115.213097866367,0.18407719904258,0.389113775986936,1.24540297075816,0.870568231012574,NA
"UGT3A1",1.43313236481417,-0.0574804982398763,4.74156817344612,0.377903799329907,0.984245681060168,NA
"UGT3A2",226.902607996185,-0.122800686044075,0.233194478064633,5.50759082790972,0.239063044952749,NA
"RANBP3L",2.39177483956323,0.695160520642795,2.33458984868696,0.92798386882599,0.920512196833949,NA
"GDNF",32.5535563901321,0.0601148571631638,0.538694803255917,3.17514417641439,0.528954919110958,NA
"GDNF-AS1",17.062339253893,0.502196172888766,0.901870960392916,1.27080981051398,0.866308253273931,NA
"EGFLAM",129.630847966849,-0.0251634124770146,0.281436446892129,0.33673780032251,0.987320840071312,NA
"LIFR-AS1",26.4198028373569,0.96848302101913,0.58132987543086,6.04068209706696,0.196130639924453,NA
"OSMR",97.5297290205369,-0.123686601807485,0.269570878387574,2.15917392099757,0.706510183331074,NA
"PTGER4",21.8512564393383,-0.213977002695664,0.60799683613537,5.86964880976493,0.209096764123232,NA
"SNORD72",2.62283196622575,-0.209408439093424,1.83435163450954,3.61611620295946,0.460443591821363,NA
"CARD6",39.7303497329596,-0.249851757757631,0.560794998388799,7.37670073229458,0.117270789305993,NA
"OXCT1-AS1",3.02125003015716,-0.574875976878188,2.09218861041013,2.36573582490689,0.66882800534549,NA
"FBXO4",245.364168815458,0.0212086952991704,0.209269880632141,4.08627201220389,0.394456093509805,NA
"CCDC152",2.81155200196064,0.67051667893974,1.8574532293858,8.28150126291857,0.0817939887362456,NA
"ANXA2R-OT1",151.249432387148,0.0315425708422332,0.27619152318113,5.234331795727,0.264087423826648,NA
"ANXA2R",34.649875777196,-1.23929630412176,0.562655073011908,6.22377186328666,0.183048498114143,NA
"ANXA2R-AS1",12.9151107243287,1.08062011717953,0.983156183967769,3.50521646640226,0.477085612732641,NA
"LOC100132356",46.1352464675426,-0.908156292870088,0.426335161819238,12.8361124741153,0.0121049698795878,NA
"LOC100506639",50.0472515081102,-0.2468652366937,0.362367297045322,4.79647891986735,0.308824548262876,NA
"NIM1K",31.1251345539607,-0.467212495289934,0.52914746616341,3.80072563689546,0.433645898722634,NA
"FGF10",1.43137004131355,-4.48766301836857,5.13654813932916,0.916465586351293,0.922186769269694,NA
"MRPS30-DT",12.0263205684616,0.199218865720788,1.08903676635598,0.789086886485961,0.939905103660298,NA
"HCN1",1.89877691704314,2.4203808558106,2.95874237018988,4.65214427406713,0.324886279319086,NA
"ISL1-DT",159.51993849622,-0.17851504023858,0.234486963613041,2.4365827044075,0.65602648732703,NA
"FST",7.75366044260049,0.542684682513094,1.39812020181698,0.344546703392126,0.986759978005643,NA
