"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PTPRF",6574.26204098175,-0.517964165369239,0.117940628036418,240.83576977635,6.12998954422922e-51,7.41166350489879e-49
"ARMCX3",3440.16850430631,0.84558184232938,0.0812463560291801,239.92809333745,9.61463522732867e-51,1.15192070600877e-48
"BCL6B",1543.67139575347,0.790980415124017,0.0975172370593026,239.875880100167,9.86681606714436e-51,1.17148440494501e-48
"PREB",7850.82930945711,0.596640077235922,0.0648381743724914,238.549263206839,1.90484524853016e-50,2.24142460092669e-48
"RNF130",1807.63169088602,-0.624188962998246,0.110047842906436,238.085348067561,2.39750331972413e-50,2.79616780979153e-48
"SHCBP1",3890.23297800598,0.610114799593687,0.0723066225821437,237.955330582566,2.55715410223984e-50,2.95620472924727e-48
"CHD3",4962.26014279063,-0.256509268970828,0.0960060300295725,237.755775587246,2.82311385321333e-50,3.23528847578248e-48
"CLPTM1",4014.60097327106,-0.385914107045946,0.0900820066819558,236.718205826542,4.72226405401251e-50,5.36506189377852e-48
"BTBD1",2507.67976018316,-0.226840266918286,0.121564085137328,236.623575185198,4.94910715524814e-50,5.57472505974489e-48
"FEN1",13529.6895253786,0.509936114904899,0.0642569971120417,234.380134592109,1.50515567150357e-49,1.68105479616487e-47
"ZFAND5",7531.00925643695,0.381533260441749,0.0578436824265343,232.301958070075,4.21712680259227e-49,4.67037933877005e-47
"SLC18B1",1609.03706412043,-0.506840694021064,0.0918020233321502,231.644918028408,5.84078894182698e-49,6.41464645536148e-47
"MSI2",3412.58126917548,-0.212749266549232,0.0969419116015415,230.42256523755,1.07059201572328e-48,1.16606051034853e-46
"MSN",2174.10398676826,-0.13504597527316,0.156280643293216,230.032606948389,1.29889216182529e-48,1.40312293448324e-46
"UBE2I",3433.11055354978,-0.30387949268544,0.0917272445965728,229.748234082457,1.49551679056654e-48,1.60239152706313e-46
"PCBP2",11252.4170951183,-0.21394617825797,0.0921602224990059,229.381078122695,1.79402959818148e-48,1.90673516729304e-46
"EPB41L1",1130.65479251636,-0.215727518527058,0.106434546009702,229.351876167809,1.82018660166597e-48,1.91905913786846e-46
"HNRNPK",25494.3127975429,-0.0317485032109393,0.0923827524730179,227.697081356876,4.13363848405054e-48,4.32358901438905e-46
"RNF146",2710.82165686658,0.484813444984334,0.0688212150667952,227.187091738808,5.32243059746449e-48,5.52317423968382e-46
"DBR1",3572.81586882834,0.4974349393314,0.075554548827811,226.502577328059,7.47224962728227e-48,7.69349826859009e-46
"YTHDF2",10116.7236216688,0.500433711627237,0.0719070560652823,226.381721250739,7.93350636760295e-48,8.10509150532087e-46
"ZNF581",2437.33951833479,0.638817587295946,0.115299269953961,225.560124639654,1.19208557591064e-47,1.20849967730203e-45
"APP",10309.5213649048,-0.324551138129631,0.100002269345086,225.372475707486,1.308267668078e-47,1.31615722119084e-45
"LAMB1",1710.87572790682,-0.399021983159751,0.130772390090192,224.932908863403,1.62669797280229e-47,1.62411004420919e-45
"CSDE1",37132.1889914308,-0.262669754225558,0.0784675501409259,224.787051391135,1.74863935167212e-47,1.7327306778712e-45
"MANF",5853.35116091525,0.704215313067939,0.0955512941424208,221.961577602749,7.09250006857075e-47,6.97552674654433e-45
"UTP14A",6489.46846942746,0.644734418571406,0.0736118508954888,221.856758132229,7.47063123854801e-47,7.29299622909809e-45
"UCP2",1102.74716899827,-0.344474405649459,0.116562013988168,221.505737604608,8.88994153656044e-47,8.61474555223015e-45
