"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KMT2E-AS1",86.4181483408324,-0.36028782415145,0.433915029092729,2.25004141867558,0.689878929390384,0.731390427997415
"ZC2HC1C",49.8973991132681,0.442377714787099,0.472179147737241,2.24847941148923,0.690164190176379,0.731633997935529
"GUSBP11",611.046417204487,-0.172664381445315,0.188186843875361,2.24774192787231,0.69029888132027,0.731717924629602
"C1QL4",225.968444026662,-0.28841897456421,0.226790909901011,2.24203469183973,0.691341412765107,0.732764072609888
"PDE5A",550.760888749374,-0.105366045968098,0.172685939053366,2.23968778980299,0.691770211089943,0.733159598870475
"DUSP28",73.9549012443915,-0.355851441781819,0.490231003274114,2.23849743175663,0.691987719918626,0.733331148344127
"GTF2IRD2B",144.220645868559,0.180977608631111,0.322881381027009,2.2379441984219,0.692088814482631,0.733379310610806
"LINC03006",74.2597470585654,0.0822981362915983,0.451967056329445,2.23760285198802,0.692151191580185,0.733386441054451
"FGF11",418.761123716157,0.111849700865994,0.178326620507355,2.23669698791929,0.692316733198107,0.733502872161576
"CDIN1",816.466922035697,0.179116151904326,0.126026137336607,2.23457396193231,0.692704735426604,0.73385496046521
"C10orf95-AS1",486.664622126224,-0.149986176113267,0.18387127764536,2.23326439917605,0.692944091465063,0.73404952828696
"C15orf62",93.8197994226256,0.0695516918878147,0.304016365376109,2.22992871409397,0.693553846870381,0.734636404750422
"EIF1AX",13841.9063361182,0.0724704303763131,0.0678906160832304,2.22845782563547,0.693822755225539,0.734862178824832
"VIM-AS1",89.5654741995303,-0.039083009346027,0.470447232852945,2.2280168590874,0.693903376843577,0.734888508793114
"MIDN",1919.77709462638,0.0323497003436356,0.136911142691716,2.22415307908113,0.694609866607265,0.735577616072089
"MMP25",99.3018348763273,-0.241494786381198,0.328924467628586,2.2230869393959,0.694804833889365,0.735724964312064
"KLHL13",2102.80641977856,0.0796537545968167,0.106179647877193,2.22233701475,0.694941980490727,0.735811067798449
"STYX",1419.20290694804,-0.0669910603178237,0.116936111838003,2.22098591135796,0.695189083941978,0.736013571438892
"TUBGCP5",116.717373772698,-0.111355094803367,0.361390735892781,2.21582471127945,0.696133168536239,0.736953894139215
"B3GALT9",135.483991722441,-0.313640714679196,0.277181935988448,2.21514987077589,0.696256627736191,0.73702538931207
"KBTBD3",184.765269287356,0.189678222451232,0.271742010428712,2.21330593159178,0.696593989166206,0.737264068681451
"PRXL2C",570.383007386813,0.144994412116548,0.150950280900359,2.21349835506305,0.696558782556068,0.737264068681451
"BAG3",5408.41021032087,-0.0702137590884232,0.0871972498336059,2.21298338611382,0.696653004179756,0.737267320491849
"SMPD3",73.8328430939401,-0.44021858629502,0.439125041020401,2.21205189309828,0.696823441324169,0.73738848026427
"SIRT3",994.234895732102,-0.0806636383740445,0.150129053340593,2.20683978377849,0.697777250985613,0.738338529967033
"NRG2",200.332947137507,-0.186802228816188,0.241915634416662,2.2025826092202,0.698556481864549,0.739044382635698
"TMEM217",42.890606804871,0.204720496384219,0.558282327455194,2.20279684718588,0.698517264195822,0.739044382635698
"ZNF385B",252.744637994713,0.337988260617757,0.270345537776274,2.20032781185029,0.698969260716099,0.739421727964157
"EPHX4",240.025946663531,-0.173294795283608,0.261007941093765,2.1999628307683,0.699036080681055,0.739433061023808
"ANKRD34B",172.005852823182,0.339471554779616,0.316573295842682,2.19578469919983,0.699801082691806,0.740167975687467
"PTK2B",88.9090616214865,0.408416308075674,0.392154252837611,2.19555485491384,0.69984317057755,0.740167975687467
"DENND5B",1912.27195078278,0.0409330328127421,0.134823852809867,2.19501510815059,0.699942007879982,0.740213105589013
"DNAJC8",11780.8760839181,-0.0452500988541658,0.0899376885978048,2.19433175654399,0.700067145200774,0.740286039204124
"FAHD2CP",65.6377036514467,-0.0325841924323552,0.393659888047929,2.19255139503827,0.700393187897934,0.740571391471989
"ZBTB16",118.591639880622,-0.119061470482213,0.369158567622207,2.18491007639213,0.701792851266542,0.741983363734603
