"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UFM1",2688.20854686945,0.548336103542172,0.0637746339259314,155.593035369613,1.2879787061758e-32,3.36903030067936e-30
"COPB2",13752.3271585236,0.424719880883855,0.0422332101497131,153.250002209103,4.09436413041956e-32,1.04486175357512e-29
"OSTC",5650.90596896563,0.664313683741073,0.0692548149857318,152.636186716991,5.54312051618478e-32,1.38089690382956e-29
"SEC23B",5890.51116396005,0.497780888210163,0.0591941182622036,152.478467011635,5.99183077481999e-32,1.45796570690562e-29
"MTDH",16672.7244319031,0.438376707569082,0.0470829762018495,150.336842812253,1.72402803936962e-31,4.09966031271007e-29
"SLC1A4",886.067826985903,0.577825706511805,0.0906481174490507,149.65102930471,2.41828369444204e-31,5.62277828776602e-29
"USO1",9181.94884614489,0.530813651428454,0.0569758497104814,146.777175846803,9.9826890843771e-31,2.2706277367356e-28
"PLPP5",828.162014677072,1.05933709953332,0.13110293163667,145.554600493688,1.8244957409729e-30,4.06163807187222e-28
"TMED2",17150.5865054837,0.3065454265555,0.033517943014895,145.395561500101,1.97337391800576e-30,4.30154402168631e-28
"SRP68",12881.3034169439,0.328688161665673,0.0438386930445125,140.996815112607,1.72674013864367e-29,3.68711878992423e-27
"ERLEC1",2822.86874770959,0.573338367944255,0.0714278454780659,140.908494872192,1.80358727032054e-29,3.77418672187276e-27
"MESD",5085.59156287897,0.434451478188466,0.0492791526637284,138.943495785108,4.7513638096715e-29,9.74774892952802e-27
"TXNDC11",2465.80874954723,0.296497208340101,0.0624228296816007,131.117332499422,2.24614411429136e-27,4.51950112842894e-25
"SEC24C",8221.20067374222,0.285456511392866,0.0432664953817127,130.835094512827,2.58108935878475e-27,5.09545999263487e-25
"PDIA3",16841.3065706458,0.333613923286843,0.0432064016940875,128.363699877683,8.71572292209406e-27,1.68875201729389e-24
"HERPUD1",3103.5851453824,0.0684812932769617,0.0655156120531441,128.188919855166,9.4989097407657e-27,1.8070380475933e-24
"GORASP2",8623.40011913614,0.299032951356256,0.0439490036039307,128.055741528063,1.01425830642681e-26,1.89503297502566e-24
"ENTPD7",2911.25494978794,0.584869804649329,0.0634102123477355,125.424264458832,3.70415510805752e-26,6.79939910449225e-24
"GMPPB",2696.92034378513,0.399965275449336,0.0839173211010796,124.326613509025,6.35746178032956e-26,1.14686418288945e-23
"MANF",4650.44359575369,0.273662302946684,0.0641785648424512,119.050152947471,8.52163835417248e-25,1.51121867965605e-22
"PRRC1",6163.3217086091,0.3733620225443,0.0565915309386995,117.891147706375,1.50667528723893e-24,2.62739058839682e-22
"ERGIC1",5373.14185075079,-0.343265848672419,0.0606928480839161,116.787443258691,2.59220567902655e-24,4.44627016715653e-22
