"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",162,0.357072702779755,1.68907548756914,0.000125858895010213,0.00122862254652827,0.000958924914363526,2149,"tags=28%, list=15%, signal=24%","STC2/PMAIP1/MYC/CLDN7/BHLHE40/NRIP1/XBP1/IGF1R/SYNGR1/B4GALT1/TTC39A/NAV2/TPD52L1/RPS6KA2/SLC1A4/SLC37A1/RHOBTB3/RET/RAB31/TGM2/DYNLT3/HES1/PLAAT3/SLC26A2/ABHD2/PAPSS2/KRT8/MED13L/SEC14L2/BLVRB/TUBB2B/AMFR/NADSYN1/PTGES/INPP5F/CA12/UNC119/SEMA3B/RBBP8/SNX24/KLF10/SULT2B1/GFRA1/SLC7A2/BCL11B"
"KEGG_ALZHEIMERS_DISEASE","KEGG_ALZHEIMERS_DISEASE",140,-0.377967402992985,-1.75442749241435,0.000205603983656526,0.00191585530225399,0.00149530169932019,4195,"tags=48%, list=30%, signal=34%","NDUFB5/MAPK1/CALM1/UQCRC2/SDHC/CHP1/COX7B/NDUFA9/NDUFB3/ATP5F1E/BACE2/UQCRH/COX4I1/CAPN1/NDUFS7/GNAQ/ATP2A2/UQCR10/NDUFA1/NDUFB8/NDUFAB1/GAPDH/ATP5F1D/NDUFA3/ATP5PO/UQCR11/ATP5PF/NDUFA6/UQCRFS1/NDUFB9/NDUFA4/HSD17B10/NDUFB6/NDUFS3/NDUFS6/NDUFB10/CAPN2/NDUFS8/ATP5MC3/ITPR2/COX5A/COX7C/CALM2/CYCS/COX6A1/ATP5PD/SDHA/ATP5MC1/NDUFB1/NDUFS5/PSEN1/NDUFB4/APH1A/FADD/NDUFB7/UQCRQ/PPP3R1/CDK5/COX6B1/ADAM17/ATP5F1A/NDUFB2/PSENEN/FAS/NDUFA2/NDUFC2/NDUFA8"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",118,0.381866842817991,1.73714557234292,0.000310109570054555,0.00276402008092104,0.00215728396559691,2270,"tags=35%, list=16%, signal=29%","GLRX/TSPAN7/TMEM100/RGS16/G0S2/TMEM158/GYPC/PPP1R15A/TRIB1/ANKH/TNFAIP3/TRIB2/AKAP12/MMP11/PLAT/ATG10/ID2/USH1C/SPON1/PLAUR/ZNF639/RABGAP1L/ITGA2/SNAP91/USP12/JUP/TFPI/HDAC9/ETS1/DNMBP/MAFB/GFPT2/EVI5/LIF/LAPTM5/SEMA3B/CBR4/CXCR4/AVL9/EMP1/BMP2"
"KEGG_O_GLYCAN_BIOSYNTHESIS","KEGG_O_GLYCAN_BIOSYNTHESIS",22,0.62167120318052,1.9659156956878,0.000381337476723008,0.00325725761367569,0.00254224984482005,4000,"tags=64%, list=29%, signal=46%","GALNT6/GALNT12/GALNT7/GALNT14/GALNT1/ST3GAL2/C1GALT1/GALNT5/GALNT13/GALNT10/C1GALT1C1/GALNT3/GALNT11/B4GALT5"
"KEGG_PURINE_METABOLISM","KEGG_PURINE_METABOLISM",125,-0.372259664661856,-1.69073943349209,0.000747434015206333,0.00612895892469193,0.00478357769732053,3115,"tags=32%, list=22%, signal=25%","ADK/NUDT5/POLD4/PRPS1/NUDT9/PKM/POLE/NME6/GUCY1A1/POLR3C/POLR2H/POLR2G/POLR2J/POLR2D/POLR1A/PDE3B/PDE4A/POLD2/GUK1/ITPA/ADSS2/ADCY6/IMPDH1/POLR2E/ENTPD6/POLR2A/ADSL/POLR2L/NME4/CANT1/NME1/ENTPD3/POLE3/POLA2/POLE4/AK2/POLR1B/POLR2C/POLR3H/POLR2K"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",193,0.320401131112516,1.54829048079672,0.00120681585837941,0.00951527888337609,0.00742655912848866,781,"tags=15%, list=6%, signal=14%","DDIT4/SLC7A11/ASNS/CTH/DDIT3/STC1/MTHFD2/INSIG1/GLRX/IFRD1/VLDLR/HSP90B1/BHLHE40/BCAT1/EIF2S2/EDEM1/PPP1R15A/XBP1/RPN1/PSAT1/P4HA1/PHGDH/BUB1/SLC6A6/PSPH/SLC1A4/SLC1A5/SLC2A3/LGMN"
"KEGG_RNA_POLYMERASE","KEGG_RNA_POLYMERASE",29,-0.563396599212637,-1.89157983215328,0.00202511564693757,0.0153758780600816,0.0120006853151856,2465,"tags=45%, list=18%, signal=37%","POLR3C/POLR2H/POLR2G/POLR2J/POLR2D/POLR1A/POLR2E/POLR2A/POLR2L/POLR1B/POLR2C/POLR3H/POLR2K"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",93,0.379429605262746,1.64424929817238,0.00217592213128399,0.0159308584611863,0.0124338407501942,1174,"tags=20%, list=8%, signal=19%","SLC38A2/ADAMTS1/NDRG1/INSIG1/SAT1/H1-0/TPD52/SRP19/ANKH/B4GALT1/AKAP12/IQGAP2/SEC24D/SLC26A2/ABHD2/KRT8/GSR/MERTK/TNFAIP8"
"KEGG_DNA_REPLICATION","KEGG_DNA_REPLICATION",36,-0.506987891338644,-1.82057270791952,0.0024180555554693,0.0170931513403864,0.0133409961681065,3659,"tags=58%, list=26%, signal=43%","RFC3/RNASEH2A/MCM6/POLD4/MCM4/POLE/MCM5/RFC5/RPA3/LIG1/MCM7/POLD2/RPA2/RNASEH2C/MCM3/RPA4/RNASEH2B/POLE3/POLA2/POLE4/PCNA"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",92,0.380147468226916,1.64935337469753,0.00272915470472611,0.0186492238156284,0.0145554917585393,2453,"tags=29%, list=17%, signal=24%","MYC/EMP3/HAS2/SLC7A1/ICAM4/RGS16/KLF6/LYN/NFKBIA/ACVR1B/BEST1/EIF2AK2/IL18R1/RIPK2/PLAUR/SGMS2/SLC4A4/NMI/PROK2/LIF/NAMPT/IFITM1/PDPN/SLC7A2/SRI/CD40/GABBR1"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",145,0.327858536215767,1.52459512540779,0.00284500881773772,0.0188137679882656,0.0146839164786463,2988,"tags=32%, list=21%, signal=25%","MYC/NDRG1/BHLHE40/RGS16/KLF6/COL6A1/XBP1/IGF1R/P4HA1/PLAGL1/F2RL2/GADD45B/SLC1A5/SLC2A3/TGM2/MAP3K8/IL18R1/MAFF/PHLDA1/RABGAP1L/RHOB/RORA/AGER/SLC29A2/IGF2R/PIM1/PRKCH/APLP1/LIF/CASP3/AMACR/ENO3/ALCAM/EMP1/BMP2/GABARAPL1/PNP/TTC39B/ENPP1/TNFRSF21/DENND5A/POU2F1/NCOA3/ADAM19/BMPR2/AHNAK"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",179,0.309900452606025,1.4853217809582,0.00359774868390878,0.0230480775062906,0.0179887434195439,937,"tags=14%, list=7%, signal=13%","DDIT4/ATF3/SLC7A11/DDIT3/NDRG1/JUN/SLC3A2/S100A10/SAT1/BTG1/RGS16/ZFP36L1/PPP1R15A/RAD9A/SP1/ACVR1B/PROCR/APAF1/TPD52L1/CCP110/GADD45A/FAM162A/DEF6/IER5/HMOX1"
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",17,0.614252133353815,1.82236845008759,0.00477499802333541,0.0296628665085987,0.0231515055676868,3750,"tags=53%, list=27%, signal=39%","NT5M/NADSYN1/NMRK1/NAMPT/PNP/ENPP1/NADK/NT5C3A/QPRT"
"KEGG_RNA_DEGRADATION","KEGG_RNA_DEGRADATION",56,-0.415591885914665,-1.63095700565551,0.0079803970904855,0.0481171001043979,0.0375548098375788,3193,"tags=38%, list=23%, signal=29%","DDX6/MTREX/EXOSC4/ENO1/DCPS/DIS3/EDC4/LSM2/SKIC8/CNOT2/EXOSC6/DCP2/CNOT7/CNOT4/EXOSC5/EXOSC2/LSM3/CNOT3/LSM4/EDC3/LSM1"
