"gene_id","gene_name","gene_biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000136522","MRPL47","protein_coding",791.497595372211,-0.018250174214242,0.0703733477296763,-0.266808827189868,0.789616357445826,0.871416988767684
"ENSG00000175352","NRIP3","protein_coding",94.5938420003112,0.0356547003190107,0.150131695585587,0.266918225856861,0.789532123391833,0.871416988767684
"ENSG00000241941","RPL32P26","processed_pseudogene",10.7660343580844,0.0404542335663991,0.267821949902222,0.26684235472833,0.789590541874643,0.871416988767684
"ENSG00000163655","GMPS","protein_coding",373.842233265095,-0.0225660584723429,0.0907479976894104,-0.266716233667721,0.789687653907992,0.871430465917168
"ENSG00000258728","","protein_coding",70.0418500171543,-0.0372151322709917,0.161949974798994,-0.266649502053274,0.78973903794661,0.871430465917168
"ENSG00000164099","PRSS12","protein_coding",44.2833021362029,0.0413339755073188,0.192373728587183,0.266062670480026,0.790190943724591,0.871868138970758
"ENSG00000089234","BRAP","protein_coding",106.329465639054,0.0338365627686319,0.140652431111132,0.265901394918877,0.790315150769149,0.871944205152788
"ENSG00000067221","STOML1","protein_coding",34.0577829427401,-0.0427380074276819,0.217963302154897,-0.265738569693551,0.790440556697564,0.871960611314324
"ENSG00000109381","ELF2","protein_coding",255.008344313625,-0.0282730177154411,0.110627782710458,-0.265801621722752,0.790391994178475,0.871960611314324
"ENSG00000119878","CRIPT","protein_coding",339.259782187798,0.0256724224112804,0.102201914108947,0.265296503441564,0.790781057887716,0.872275239480843
"ENSG00000186272","ZNF17","protein_coding",26.4655364491632,-0.0425813487489809,0.217017752476786,-0.265181257560383,0.790869832504143,0.872312174735589
"ENSG00000100918","REC8","protein_coding",12.0351070602003,0.0412895851946769,0.261463865731689,0.264801127214625,0.791162668492267,0.872513170753704
"ENSG00000167774","","protein_coding",620.865364762744,-0.0188853614572268,0.0731108738309012,-0.264815151438414,0.791151864312474,0.872513170753704
"ENSG00000158161","EYA3","protein_coding",193.527254283193,0.0294477715861572,0.119090428962099,0.264581646858892,0.79133176009791,0.872638650944623
"ENSG00000151576","QTRT2","protein_coding",293.969273775423,0.0246655903483192,0.0972768903033106,0.264412649940285,0.791461965049168,0.872660243383935
"ENSG00000175063","UBE2C","protein_coding",2649.50417590572,0.0150025401735793,0.0548479427174289,0.264419233475974,0.791456892605476,0.872660243383935
"ENSG00000096070","BRPF3","protein_coding",140.104667708337,-0.0311075286395116,0.129172943311205,-0.263869696945546,0.791880326639198,0.873024213522873
"ENSG00000262265","","lncRNA",38.9703062921306,-0.0411457007277005,0.198060264188053,-0.263840611665703,0.79190273941344,0.873024213522873
"ENSG00000166341","DCHS1","protein_coding",12.1421090731351,0.0406968273133267,0.264411250500398,0.263723908476837,0.791992671246303,0.873062351470998
"ENSG00000114948","ADAM23","protein_coding",95.7235616851907,-0.0342591071473311,0.146578613556824,-0.263634994110833,0.792061190785431,0.873066238326427
"ENSG00000172732","MUS81","protein_coding",278.749371809825,-0.0247582121757131,0.0988316181330205,-0.26357571574555,0.792106873005291,0.873066238326427
"ENSG00000125462","MIR9-1HG","lncRNA",29.713239224336,0.0426944093628763,0.214117577608291,0.263447612104811,0.792205597103995,0.873114055571759
"ENSG00000286019","NOTCH2NLB","protein_coding",16.5615005501664,0.0420518654657009,0.245530125163047,0.263268450877308,0.792343674729751,0.87320523583482
"ENSG00000113583","C5orf15","protein_coding",780.736347977797,0.0192021785977534,0.0746985414714714,0.26296355316528,0.792578671078891,0.8734032055327
"ENSG00000147874","HAUS6","protein_coding",338.4910841663,-0.0216357314643613,0.0922941168096331,-0.262889205937073,0.792635976194563,0.873405349659283
"ENSG00000109680","TBC1D19","protein_coding",28.5323535445964,0.0423311270386893,0.21901485406787,0.262493347961587,0.792941113173467,0.873680560272211
"ENSG00000111850","SMIM8","protein_coding",116.084633942606,0.0334216938513599,0.141664386562555,0.262331037167273,0.793066235459536,0.873757402014323
"ENSG00000180346","TIGD2","protein_coding",29.570709763055,-0.0418560495959473,0.209312247666148,-0.262054907722319,0.793279110605832,0.873887144318505
"ENSG00000285053","","protein_coding",117.065218553848,-0.032019762416224,0.135091117745475,-0.262034588261792,0.793294775998582,0.873887144318505
"ENSG00000122335","SERAC1","protein_coding",102.299008967234,-0.0339012986429974,0.141139714718633,-0.261776394571012,0.793493839015846,0.874013675665101
"ENSG00000126351","THRA","protein_coding",169.115540538107,0.0287742621137203,0.117469815482737,0.261741900754314,0.793520434190715,0.874013675665101
"ENSG00000184949","FAM227A","protein_coding",19.5297681853168,-0.041457708789199,0.249487529534251,-0.260875775901895,0.794188306187298,0.874688230835393
"ENSG00000186222","BLOC1S4","protein_coding",282.85370158891,0.0249456359590535,0.100173387619385,0.260717599273517,0.794310293067549,0.874730512588204
"ENSG00000293192","","lncRNA",29.0049231199104,0.0421447653013046,0.213821736361422,0.260682213588295,0.794337583434823,0.874730512588204
"ENSG00000103018","CYB5B","protein_coding",976.633071424044,-0.0217992585700718,0.0692685215688783,-0.260603709263294,0.794398128925182,0.874736130656938
